age,gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preferred_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction
20-35,Female,Less than 6 months,Smartphone,Free,No,Free,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Playlists,4,Rarely,Comedy,Story telling,Well known individuals,Shorter,Ok
20-35,Male,1 year to 2 years,Smartphone,Free,No,Free,Music,Rap,Night,Uplifting and motivational,Workout session,Others,1,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free,No,Free,Music,Pop,Morning,Uplifting and motivational,"Office hours, While Traveling, leisure time","recommendations, Playlists, Radio",3,Several times a week,Business,Story telling,Both,Shorter,Ok
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free,Yes,Individual Plan,Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",3,Rarely,Comedy,Conversational,Well known individuals,Shorter,Satisfied
20-35,Female,More than 2 years,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free,No,Free,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, leisure time",Playlists,3,Rarely,None,Interview,Both,Shorter,Ok
20-35,Female,More than 2 years,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists, Others",4,Rarely,Comedy,None,Both,Shorter,Ok
20-35,Male,1 year to 2 years,Smartphone,Free,No,Free,Music,Pop,Night,Relaxation and stress relief,"While Traveling, Workout session",Playlists,3,Rarely,None,Conversational,Both,Both,Ok
20-35,Female,More than 2 years,Smartphone,Free,Yes,Student Plan,Music,Pop,Night,Uplifting and motivational,"Study Hours, Workout session, leisure time","recommendations, Playlists",4,Once a week,Comedy,Conversational,Both,Longer,Very Satisfied
20-35,Male,1 year to 2 years,"Smartphone, Computer or laptop",Free,No,Free,Music,classical,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Others",5,Daily,Health and Fitness,Interview,Well known individuals,Longer,Very Satisfied
20-35,Female,Less than 6 months,Smartphone,Free,No,Free,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","Office hours, While Traveling, ","recommendations, Playlists",5,Once a week,Comedy,Story telling,None,Both,Satisfied
20-35,Male,1 year to 2 years,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",Playlists,5,Never,None,None,None,None,Ok
20-35,Male,1 year to 2 years,Smartphone,Free,No,Free,Podcast,classical,Afternoon,Sadness or melancholy,"While Traveling, Workout session",Others,3,Once a week,Lifestyle and Health,Conversational,Both,Both,Ok
35-60,Male,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free,Yes,Student Plan,Podcast,Melody,Morning,Sadness or melancholy,"While Traveling, Workout session, leisure time","recommendations, Playlists",4,Once a week,Food and cooking,Interview,Both,Shorter,Satisfied
20-35,Female,Less than 6 months,"Smartphone, Wearable devices",Free,No,Free,Music,Melody,Morning,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists",3,Once a week,Comedy,None,Well known individuals,Shorter,Ok
20-35,Male,1 year to 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Individual Plan,Yes,Individual Plan,Music,Electronic/Dance,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",recommendations,4,Rarely,Comedy,Story telling,unknown Podcasters,Shorter,Very Satisfied
20-35,Male,More than 2 years,"Smartphone, Computer or laptop, Wearable devices",Free,No,Free,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time","Playlists, Radio",3,Daily,Health and Fitness,Educational,Both,Shorter,Dissatisfied
20-35,Female,1 year to 2 years,Smart speakers or voice assistants,Free,No,Free,Music,Pop,Night,Relaxation and stress relief,leisure time,Others,4,Once a week,Comedy,Story telling,Both,Shorter,Ok
20-35,Male,Less than 6 months,Smartphone,Free,Yes,Individual Plan,Music,Rap,Night,"Relaxation and stress relief, Sadness or melancholy",Office hours,Others,4,Never,None,None,None,None,Ok
20-35,Female,1 year to 2 years,Smartphone,Free,No,Free,Podcast,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session, leisure time","recommendations, Playlists",4,Rarely,Lifestyle and Health,Story telling,Both,Shorter,Very Satisfied
20-35,Female,More than 2 years,"Smartphone, Wearable devices",Free,No,Free,Music,Pop,Night,"Relaxation and stress relief, Social gatherings or parties","Office hours, While Traveling, leisure time","recommendations, Radio",3,Rarely,Lifestyle and Health,Educational,Well known individuals,Shorter,Satisfied
20-35,Female,More than 2 years,Smartphone,Free,No,Free,Music,All,Morning,"Relaxation and stress relief, Uplifting and motivational","Workout session, leisure time",Playlists,5,Never,None,None,None,None,Ok
20-35,Male,Less than 6 months,Smartphone,Free,No,Free,Music,classical,Afternoon,Relaxation and stress relief,"While Traveling, leisure time",Playlists,3,Rarely,Lifestyle and Health,Educational,Both,Shorter,Ok
20-35,Female,6 months to 1 year,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,4,Once a week,Comedy,Story telling,None,None,Satisfied
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free,No,Free,Music,Pop,Morning,Relaxation and stress relief,"While Traveling, Workout session","recommendations, Playlists",4,Daily,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Male,More than 2 years,"Computer or laptop, Wearable devices",Family Plan,Yes,Family Plan,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Never,None,None,None,None,Satisfied
20-35,Male,More than 2 years,Smartphone,Free,Yes,Free,Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, leisure time",recommendations,4,Rarely,Sports,Conversational,Well known individuals,Both,Satisfied
20-35,Male,Less than 6 months,Smartphone,Free,No,Free,Music,Pop,Night,Uplifting and motivational,leisure time,Others,3,Never,None,None,None,None,Ok
20-35,Male,Less than 6 months,Smartphone,Free,No,Free,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, leisure time",Others,3,Rarely,Sports,Story telling,Both,Shorter,Ok
20-35,Female,Less than 6 months,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,3,Rarely,Lifestyle and Health,Interview,Both,Shorter,Satisfied
20-35,Male,Less than 6 months,Computer or laptop,Free,No,Free,Music,Rap,Afternoon,Relaxation and stress relief,"While Traveling, leisure time",recommendations,3,Never,None,None,None,None,Ok
20-35,Male,6 months to 1 year,Smartphone,Free,No,Free,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,"recommendations, Others",3,Never,None,None,None,None,Ok
20-35,Male,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Individual Plan,Yes,Individual Plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Several times a week,Comedy,Conversational,Both,Both,Very Satisfied
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Individual Plan,Yes,Individual Plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational",Office hours,"recommendations, Playlists",4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Female,Less than 6 months,Smartphone,Free,No,Free,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Playlists,4,Never,Food and cooking,Story telling,Both,Shorter,Ok
20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop, Wearable devices",Free,Yes,Individual Plan,Music,Melody,Afternoon,Relaxation and stress relief,leisure time,recommendations,5,Never,None,None,None,None,Ok
20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Free,No,Free,Music,Melody,Night,Relaxation and stress relief,"Office hours, While Traveling, Workout session",Playlists,5,Once a week,Lifestyle and Health,Interview,Both,Both,Satisfied
20-35,Female,Less than 6 months,Smartphone,Free,No,Free,Music,Electronic/Dance,Afternoon,Uplifting and motivational,While Traveling,Playlists,3,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Free,No,Free,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,"recommendations, Playlists",5,Rarely,Lifestyle and Health,Conversational,Well known individuals,Shorter,Very Satisfied
20-35,Female,Less than 6 months,"Smartphone, Computer or laptop",Free,No,Free,Music,Melody,Morning,Social gatherings or parties,"Office hours, While Traveling, leisure time",Others,2,Rarely,Comedy,Conversational,Both,Both,Ok
20-35,Others,1 year to 2 years,Smart speakers or voice assistants,Student Plan,Yes,Student Plan,Podcast,Rap,Afternoon,"Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",Others,4,Once a week,Food and cooking,Story telling,Both,Longer,Satisfied
20-35,Female,More than 2 years,Wearable devices,Free,Yes,Duo plan,Podcast,Rap,Night,Sadness or melancholy,Study Hours,recommendations,2,Daily,Lifestyle and Health,Conversational,unknown Podcasters,Both,Very Satisfied
35-60,Male,1 year to 2 years,Computer or laptop,Free,Yes,Individual Plan,Podcast,Pop,Afternoon,Social gatherings or parties,Workout session,Radio,5,Once a week,Comedy,Educational,None,Shorter,Ok
20-35,Female,1 year to 2 years,Computer or laptop,Free,Yes,Individual Plan,Podcast,Melody,Afternoon,Sadness or melancholy,While Traveling,Radio,3,Several times a week,Health and Fitness,Story telling,Both,Longer,Very Satisfied
20-35,Female,1 year to 2 years,Computer or laptop,Free,Yes,Duo plan,Podcast,classical,Afternoon,Uplifting and motivational,Study Hours,Radio,3,Rarely,Lifestyle and Health,Conversational,unknown Podcasters,Longer,Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free,No,Free,Music,Melody,Afternoon,Relaxation and stress relief,leisure time,Others,4,Never,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free,Yes,Duo plan,Podcast,Rap,Morning,Relaxation and stress relief,Study Hours,Radio,3,Once a week,Food and cooking,Story telling,Well known individuals,Shorter,Ok
35-60,Male,Less than 6 months,Smartphone,Free,No,Free,Podcast,classical,Night,Relaxation and stress relief,leisure time,recommendations,4,Daily,Comedy,Conversational,Well known individuals,Shorter,Satisfied
20-35,Others,6 months to 1 year,Computer or laptop,Free,Yes,Individual Plan,Music,Melody,Morning,Uplifting and motivational,While Traveling,Radio,3,Several times a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,3,Several times a week,Comedy,None,Both,Shorter,Ok
20-35,Male,6 months to 1 year,Computer or laptop,Free,Yes,Duo plan,Podcast,Rap,Morning,Sadness or melancholy,While Traveling,Playlists,3,Several times a week,Sports,Interview,Both,Both,Very Satisfied
20-35,Male,6 months to 1 year,Computer or laptop,Free,No,Free,Podcast,Rap,Afternoon,Uplifting and motivational,Study Hours,Others,3,Once a week,Sports,Conversational,unknown Podcasters,Both,Ok
20-35,Female,1 year to 2 years,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4,Never,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free,Yes,Individual Plan,Podcast,Electronic/Dance,Night,Relaxation and stress relief,Office hours,Playlists,5,Several times a week,Comedy,Educational,Well known individuals,Both,Very Satisfied
35-60,Others,More than 2 years,Smart speakers or voice assistants,Free,No,Free,Podcast,classical,Morning,Uplifting and motivational,While Traveling,recommendations,4,Once a week,Lifestyle and Health,Story telling,unknown Podcasters,Shorter,Satisfied
20-35,Female,More than 2 years,Smartphone,Free,Yes,Individual Plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time, Night time, when cooking","recommendations, Playlists, Others",5,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Female,Less than 6 months,Smartphone,Individual Plan,Yes,Individual Plan,Music,classical,Night,Relaxation and stress relief,Office hours,Playlists,3,Never,Lifestyle and Health,None,Both,Longer,Satisfied
20-35,Female,Less than 6 months,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,leisure time,recommendations,3,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Free,No,Free,Music,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",4,Rarely,Comedy,Conversational,Both,Shorter,Very Satisfied
20-35,Female,More than 2 years,"Smartphone, Wearable devices",Free,No,Free,Music,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time","recommendations, Playlists",3,Rarely,Food and cooking,Story telling,None,None,Ok
20-35,Male,More than 2 years,Smartphone,Free,No,Free,Music,Rap,Night,"Relaxation and stress relief, Uplifting and motivational",Office hours,Playlists,3,Rarely,Everything,Story telling,Well known individuals,Both,Ok
20-35,Male,1 year to 2 years,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,3,Never,Sports,None,Both,Shorter,Ok
20-35,Female,6 months to 1 year,"Smartphone, Computer or laptop",Free,No,Free,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",recommendations,3,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Individual Plan,Yes,Individual Plan,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Rarely,Comedy,Story telling,Well known individuals,Shorter,Satisfied
20-35,Female,More than 2 years,"Smartphone, Smart speakers or voice assistants",Individual Plan,Yes,Individual Plan,Music,Pop,Night,"Relaxation and stress relief, Social gatherings or parties",leisure time,recommendations,3,Never,None,None,None,None,Ok
20-35,Male,More than 2 years,Smartphone,Individual Plan,Yes,Individual Plan,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",5,Never,None,Story telling,None,None,Very Satisfied
20-35,Female,Less than 6 months,Smartphone,Free,No,Student Plan,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,4,Rarely,None,Story telling,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free,No,Free,Music,Pop,Afternoon,Relaxation and stress relief,Office hours,recommendations,4,Rarely,Lifestyle and Health,Educational,Well known individuals,Shorter,Satisfied
20-35,Male,Less than 6 months,Smartphone,Free,No,Free,Music,classical,Night,Relaxation and stress relief,leisure time,recommendations,4,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free,No,Free,Music,Melody,Morning,"Relaxation and stress relief, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists",3,Rarely,None,Interview,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free,No,Free,Music,Melody,Night,Sadness or melancholy,leisure time,Playlists,4,Never,None,Educational,Both,Shorter,Satisfied
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free,No,Free,Music,Pop,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, While Traveling",recommendations,4,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Free,No,Free,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, While Traveling, Workout session, leisure time",Others,4,Rarely,None,Educational,Well known individuals,Shorter,Ok
20-35,Female,Less than 6 months,Smartphone,Free,No,Free,Music,Pop,Night,Relaxation and stress relief,leisure time,recommendations,3,Rarely,Comedy,Story telling,Well known individuals,Shorter,Ok
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Duo plan,Yes,Duo plan,Music,Pop,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists",5,Rarely,Lifestyle and Health,Educational,Both,Shorter,Very Satisfied
20-35,Male,Less than 6 months,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,4,Several times a week,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free,No,Free,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational",While Traveling,"recommendations, Playlists",4,Rarely,None,None,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,5,Rarely,None,Interview,None,None,Ok
20-35,Female,1 year to 2 years,Smartphone,Free,No,Free,Music,Kpop,Night,Relaxation and stress relief,"Office hours, While Traveling, Workout session","recommendations, Playlists",5,Once a week,Comedy,Conversational,None,Shorter,Very Satisfied
20-35,Female,Less than 6 months,Smartphone,Free,No,Free,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time",recommendations,4,Never,None,None,None,None,Ok
20-35,Female,1 year to 2 years,Smartphone,Free,No,Free,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session, leisure time",Playlists,4,Once a week,Health and Fitness,Conversational,Both,Shorter,Satisfied
20-35,Female,More than 2 years,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4,Several times a week,Lifestyle and Health,Conversational,Both,Shorter,Ok
20-35,Female,Less than 6 months,Smartphone,Free,No,Free,Music,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational",leisure time,Playlists,1,Rarely,Lifestyle and Health,Story telling,Both,Shorter,Dissatisfied
20-35,Female,6 months to 1 year,Smartphone,Free,No,Free,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling, leisure time","recommendations, Playlists",5,Never,None,None,None,None,Ok
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free,Yes,Duo plan,Music,Pop,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Others,3,Rarely,Comedy,Conversational,Well known individuals,Shorter,Ok
20-35,Female,1 year to 2 years,Smartphone,Free,No,Free,Music,Pop,Night,Uplifting and motivational,"While Traveling, leisure time","recommendations, Playlists",4,Rarely,Comedy,Conversational,Well known individuals,Shorter,Satisfied
20-35,Female,More than 2 years,Smartphone,Free,No,Free,Podcast,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Workout session, leisure time","recommendations, Playlists",4,Several times a week,Health and Fitness,Conversational,Well known individuals,Shorter,Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free,Yes,Individual Plan,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","Office hours, leisure time","recommendations, Playlists",4,Never,None,None,None,None,Ok
20-35,Female,6 months to 1 year,Smartphone,Free,No,Free,Podcast,Melody,Morning,Relaxation and stress relief,"While Traveling, leisure time",recommendations,3,Once a week,Lifestyle and Health,Conversational,unknown Podcasters,Both,Dissatisfied
20-35,Female,Less than 6 months,Smartphone,Free,No,Free,Music,Melody,Morning,Relaxation and stress relief,While Traveling,recommendations,4,Rarely,Lifestyle and Health,Conversational,Both,Shorter,Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free,Yes,Student Plan,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",While Traveling,"recommendations, Others",4,Never,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free,No,Free,Music,Pop,Night,Relaxation and stress relief,leisure time,recommendations,4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Free,No,Free,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists, Others",3,Once a week,Lifestyle and Health,Conversational,Well known individuals,Shorter,Satisfied
